Gender,Married,Dependents,Education,Self_Employed,Employment_Type,Property_Area,City_Tier,ApplicantIncome,CoapplicantIncome,Existing_EMI,Savings,Other_Debts,LoanAmount,Loan_Amount_Term,Credit_Score,Loan_Status
Male,No,2,Not Graduate,Yes,Salaried,Urban,1,60424,9791,0,298743,0,296787,38,695,0
Female,Yes,1,Not Graduate,No,Salaried,Urban,1,60308,15056,19700,385221,460426,605966,12,646,1
Male,No,0,Graduate,No,Salaried,Rural,1,75046,11955,0,79278,141902,962359,48,900,0
Male,Yes,1,Graduate,No,Salaried,Rural,2,86041,0,0,667907,217335,2176746,56,731,1
Male,Yes,0,Not Graduate,No,Salaried,Semiurban,3,135394,0,0,153761,11118,956488,27,819,1
Male,Yes,2,Graduate,No,Salaried,Urban,2,38713,0,7680,299186,0,1693319,49,763,0
Female,Yes,1,Graduate,No,Salaried,Urban,1,111611,8288,0,337690,120687,604244,60,630,0
Male,No,2,Not Graduate,No,Salaried,Urban,1,53325,0,0,449514,14353,2074135,49,763,0
Female,No,0,Graduate,No,Self-Employed,Semiurban,3,27381,12694,0,84718,0,781905,31,700,0
Male,Yes,0,Not Graduate,No,Salaried,Urban,2,34961,0,1395,458421,482862,1728593,32,717,0
Male,Yes,3+,Graduate,No,Self-Employed,Urban,3,64605,0,0,571279,0,858455,6,772,1
Male,No,2,Graduate,No,Self-Employed,Semiurban,2,74447,0,20662,409183,0,1674194,48,775,1
Male,No,0,Not Graduate,No,Government,Semiurban,3,28590,5019,0,692792,0,749469,18,610,0
Female,Yes,0,Graduate,Yes,Salaried,Rural,3,32847,9961,3254,758212,120837,1143528,15,673,0
Female,No,0,Not Graduate,No,Other,Semiurban,2,37293,0,7381,438330,313112,869538,28,801,0
Female,Yes,1,Not Graduate,No,Salaried,Semiurban,3,31098,23859,0,11560,0,995993,17,607,1
Female,Yes,2,Not Graduate,Yes,Other,Urban,2,17778,0,0,754848,281655,1497550,52,737,0
Male,No,2,Graduate,Yes,Salaried,Semiurban,1,14752,29189,19638,713388,0,1516221,20,703,0
Female,Yes,1,Graduate,No,Self-Employed,Semiurban,1,40529,0,0,615266,0,362123,17,609,0
Male,Yes,2,Not Graduate,No,Government,Semiurban,2,57435,35609,0,609686,0,1998874,29,649,0
Male,Yes,0,Graduate,Yes,Salaried,Urban,1,71707,17473,0,156845,0,358202,54,744,1
Male,No,0,Graduate,No,Salaried,Semiurban,1,23635,0,0,440676,424393,1155702,37,659,0
Male,No,1,Graduate,Yes,Government,Rural,2,23857,0,6001,501023,0,399527,31,779,0
Male,Yes,3+,Graduate,No,Salaried,Semiurban,3,37399,0,0,665139,0,1956067,21,663,0
Male,Yes,2,Not Graduate,No,Salaried,Semiurban,2,50092,0,0,484212,0,1800745,40,750,0
Female,Yes,1,Not Graduate,No,Self-Employed,Semiurban,2,87082,50388,18896,527392,0,1020436,53,572,0
Male,Yes,1,Not Graduate,No,Salaried,Urban,1,74200,0,9297,311274,84246,543252,45,684,1
Male,Yes,3+,Graduate,Yes,Government,Semiurban,1,40842,0,0,250308,0,4501212,21,669,0
Male,No,0,Not Graduate,No,Salaried,Rural,2,60953,24543,10031,191416,0,723646,59,711,1
Male,Yes,0,Graduate,Yes,Salaried,Urban,3,31439,0,0,306338,202499,587911,23,818,0
Female,Yes,3+,Graduate,No,Salaried,Urban,2,52086,0,19396,157417,0,100000,23,739,0
Male,Yes,2,Graduate,No,Self-Employed,Semiurban,2,48312,0,0,186293,513532,312965,59,654,0
Female,Yes,0,Not Graduate,No,Other,Urban,2,108244,22776,0,204910,0,2223843,21,647,0
Female,No,1,Not Graduate,No,Salaried,Semiurban,1,65593,24698,17005,141797,0,783126,20,655,0
Male,Yes,0,Not Graduate,Yes,Salaried,Urban,2,32723,19632,19418,114489,0,641155,28,820,0
Male,Yes,0,Not Graduate,No,Salaried,Semiurban,2,32908,0,29912,33493,0,1433639,40,614,0
Female,Yes,3+,Not Graduate,Yes,Government,Semiurban,2,41630,0,4211,776261,0,568772,12,844,0
Female,Yes,0,Graduate,No,Salaried,Urban,1,21148,28895,0,762358,0,372042,13,572,0
Female,Yes,2,Not Graduate,Yes,Salaried,Urban,1,44058,50215,26220,653941,0,1242928,57,648,0
Female,Yes,0,Graduate,Yes,Salaried,Urban,2,46201,37397,0,478183,0,1273344,55,831,1
Male,Yes,1,Graduate,No,Salaried,Urban,1,64625,0,0,392289,58711,1375218,10,812,0
Male,Yes,0,Graduate,No,Salaried,Semiurban,3,70013,0,0,193591,0,265070,34,700,1
Male,Yes,2,Graduate,Yes,Salaried,Urban,1,52795,0,11356,642819,0,1556833,33,824,0
Female,Yes,1,Graduate,No,Government,Semiurban,1,20399,0,0,6024,75878,1327019,35,787,0
Female,No,1,Graduate,Yes,Government,Semiurban,1,25545,0,27962,353629,224795,1148323,42,715,0
Male,Yes,0,Graduate,Yes,Self-Employed,Urban,3,35845,0,0,428004,126490,1214586,31,701,0
Male,Yes,0,Not Graduate,No,Salaried,Urban,3,71577,0,19445,49021,0,1217811,18,656,0
Male,Yes,0,Not Graduate,No,Salaried,Urban,3,70260,38058,11537,597426,0,501112,46,728,1
Male,Yes,0,Graduate,Yes,Salaried,Semiurban,2,43590,0,0,308552,0,411615,50,642,0
Female,No,1,Graduate,Yes,Self-Employed,Urban,3,183071,0,29672,756868,0,1521209,22,686,0
Female,Yes,1,Graduate,No,Self-Employed,Urban,3,118023,15538,0,711055,511616,786081,51,769,1
Female,No,1,Graduate,No,Government,Urban,2,98887,0,28539,746969,586342,3040315,50,597,0
Male,Yes,1,Graduate,No,Salaried,Rural,3,73507,0,8327,775681,0,651409,39,806,1
Male,Yes,0,Not Graduate,No,Self-Employed,Semiurban,3,64342,25047,5745,207693,562519,917648,34,738,0
Female,No,0,Graduate,No,Self-Employed,Rural,3,61811,0,0,85150,0,374759,58,810,1
Female,Yes,0,Graduate,No,Salaried,Urban,3,18527,32019,0,549280,222607,410299,47,612,0
Male,Yes,2,Graduate,No,Self-Employed,Urban,3,28045,12335,0,175655,114453,570066,12,728,1
Female,Yes,1,Graduate,No,Government,Urban,3,44249,0,1842,625648,0,404782,19,674,0
Male,No,0,Graduate,No,Government,Rural,2,53643,25273,11680,105146,560754,1764491,41,614,0
Male,Yes,0,Graduate,No,Self-Employed,Urban,3,46691,12331,0,284382,541518,1748702,21,623,0
Male,No,2,Not Graduate,No,Salaried,Semiurban,1,58077,15659,0,677714,0,194761,20,744,0
Male,Yes,2,Graduate,No,Government,Urban,2,15724,0,27619,278917,0,448667,45,652,0
Male,No,1,Graduate,No,Self-Employed,Semiurban,3,66031,0,0,547245,0,604493,12,765,0
Male,Yes,0,Graduate,No,Salaried,Urban,2,51738,0,0,461607,0,1255715,51,689,0
Female,No,0,Graduate,No,Salaried,Semiurban,3,45101,0,0,678654,0,683740,41,806,0
Male,Yes,3+,Graduate,Yes,Salaried,Rural,2,83266,0,22936,609450,0,117041,38,522,0
Male,No,2,Graduate,No,Salaried,Urban,2,28134,0,0,156525,0,300317,50,669,1
Female,Yes,0,Graduate,No,Self-Employed,Semiurban,1,43891,0,135,68553,492663,2551899,48,760,0
Male,Yes,2,Graduate,No,Salaried,Semiurban,1,58466,0,22496,273904,0,531862,11,617,0
Male,Yes,2,Graduate,No,Salaried,Rural,2,31276,0,0,451083,335680,1309065,6,679,0
Female,Yes,0,Graduate,No,Salaried,Urban,2,16612,13176,24092,341337,483820,1575554,28,700,0
Male,Yes,0,Graduate,Yes,Salaried,Urban,1,26518,0,208,527107,102651,331202,40,783,1
Male,No,0,Graduate,No,Salaried,Semiurban,1,48251,0,0,656498,0,855033,44,644,0
Male,No,0,Graduate,No,Salaried,Urban,1,43600,0,5804,289594,440768,3025971,11,777,0
Male,Yes,2,Graduate,No,Salaried,Rural,2,49500,25449,0,417840,0,1126086,15,614,0
Female,No,0,Graduate,No,Self-Employed,Semiurban,2,34793,13609,0,739076,160582,972176,20,748,0
Female,Yes,2,Graduate,No,Salaried,Semiurban,1,24295,7479,26416,768861,471593,887814,10,644,0
Female,Yes,3+,Graduate,No,Salaried,Urban,3,53913,7186,0,749975,0,2111760,17,689,0
Female,No,0,Graduate,No,Salaried,Semiurban,1,45624,0,21743,509805,486728,4082859,37,698,1
Female,Yes,1,Graduate,No,Salaried,Semiurban,2,71010,0,0,708454,296710,210007,60,771,1
Male,No,2,Not Graduate,No,Salaried,Semiurban,1,33141,8532,27166,182178,0,4474860,10,839,0
Female,Yes,2,Not Graduate,No,Salaried,Urban,3,16453,0,0,333956,319295,1345254,47,744,0
Male,Yes,2,Not Graduate,No,Salaried,Rural,1,11936,0,0,696068,75535,1522742,7,706,0
Female,Yes,0,Not Graduate,No,Salaried,Urban,2,40093,11485,18777,271559,0,709747,46,759,0
Female,Yes,1,Not Graduate,No,Salaried,Urban,2,53644,0,0,464117,255,3456841,38,681,0
Male,Yes,1,Not Graduate,No,Self-Employed,Rural,1,44002,12770,5086,236002,0,893614,47,741,1
Male,No,3+,Graduate,No,Salaried,Semiurban,1,36641,0,1033,233014,56094,955285,11,900,0
Male,No,0,Graduate,Yes,Government,Urban,2,20837,14084,0,329920,0,497180,31,721,0
Male,No,3+,Graduate,No,Government,Rural,3,17687,38915,1195,391873,0,386097,31,761,1
Female,Yes,0,Graduate,No,Self-Employed,Urban,1,61192,77856,0,176646,0,449337,13,522,0
Female,Yes,3+,Not Graduate,Yes,Salaried,Urban,2,44116,0,7370,639565,0,1908349,30,733,0
Male,Yes,1,Graduate,No,Government,Semiurban,2,40939,87825,9550,479388,0,2123268,28,667,0
Male,Yes,1,Not Graduate,No,Salaried,Urban,1,21414,20162,15827,304753,0,1788596,43,711,0
Male,Yes,1,Graduate,No,Salaried,Rural,1,29387,0,0,220673,345824,845157,22,669,0
Male,No,0,Graduate,No,Salaried,Rural,3,51255,16745,8939,297657,265227,1693998,56,680,0
Male,Yes,0,Graduate,Yes,Government,Urban,1,58472,0,13307,402758,0,525195,21,630,0
Male,Yes,0,Graduate,No,Salaried,Rural,1,45681,0,0,268041,423136,888425,50,700,0
Female,Yes,0,Graduate,Yes,Government,Urban,2,106762,0,0,685528,0,613834,51,655,1
Male,Yes,0,Not Graduate,No,Salaried,Semiurban,1,36433,43785,0,246070,581407,544976,32,766,0
Male,Yes,2,Not Graduate,No,Government,Rural,2,101473,0,5722,357977,0,1029079,30,586,0
Female,No,1,Not Graduate,No,Government,Rural,1,56334,22405,0,765353,0,1357551,37,783,0
Male,Yes,0,Graduate,No,Government,Urban,3,53063,0,21190,236997,0,733669,30,625,0
Female,No,2,Not Graduate,No,Salaried,Urban,2,83505,0,0,600515,97745,1394227,56,801,1
Female,Yes,1,Graduate,No,Government,Urban,3,35472,14962,5774,79815,0,889949,37,671,0
Male,Yes,3+,Graduate,No,Other,Semiurban,2,41719,0,0,716964,0,210469,45,524,0
Male,Yes,1,Not Graduate,No,Salaried,Semiurban,1,25510,0,27770,391719,0,472392,24,628,0
Male,No,0,Graduate,No,Salaried,Urban,3,83628,0,0,538460,0,1204667,51,661,1
Male,No,1,Graduate,Yes,Self-Employed,Urban,1,60132,34015,0,337498,492779,1243198,27,843,0
Male,Yes,1,Graduate,No,Salaried,Rural,2,91451,35629,0,174216,0,634970,24,644,0
Female,Yes,0,Not Graduate,No,Self-Employed,Urban,1,55963,21744,0,666236,253631,471360,16,776,1
Male,Yes,0,Graduate,Yes,Salaried,Urban,3,91715,0,837,626107,453529,2345056,27,657,0
Male,Yes,0,Graduate,Yes,Salaried,Rural,1,33149,0,23403,132810,0,1488784,25,661,0
Male,No,0,Graduate,Yes,Salaried,Urban,3,86056,12847,5619,158806,0,226942,52,742,1
Female,Yes,0,Not Graduate,No,Salaried,Semiurban,2,40174,27267,14951,798662,399981,969637,21,751,0
Male,Yes,1,Not Graduate,No,Salaried,Urban,1,50069,14900,0,451404,0,940823,50,681,1
Male,Yes,0,Graduate,Yes,Government,Urban,1,74635,15846,3268,248725,0,546492,48,726,1
Male,Yes,1,Graduate,No,Salaried,Semiurban,3,179888,0,0,435175,209222,787946,16,594,0
Female,Yes,1,Graduate,No,Government,Semiurban,2,78496,0,3274,10736,0,358777,52,799,0
Male,Yes,0,Graduate,No,Self-Employed,Semiurban,2,82674,18096,0,582327,441338,1606132,11,584,0
Female,No,0,Not Graduate,No,Salaried,Urban,2,37042,0,0,738705,0,2504814,46,669,0
Female,No,0,Graduate,Yes,Salaried,Semiurban,1,54509,0,0,397896,0,486816,8,718,0
Male,Yes,0,Graduate,No,Salaried,Semiurban,2,47431,0,15143,15990,18502,763654,59,772,0
Female,No,0,Not Graduate,No,Salaried,Urban,2,108444,0,14201,193850,505675,414138,24,635,0
Male,Yes,0,Graduate,No,Salaried,Rural,2,46143,9901,0,614716,0,672727,47,595,0
Female,Yes,1,Not Graduate,No,Salaried,Rural,2,103826,0,16016,145902,0,1429076,15,772,0
Female,Yes,1,Not Graduate,No,Other,Rural,3,24437,12316,13410,231919,586834,802998,37,733,0
Male,Yes,0,Not Graduate,Yes,Salaried,Semiurban,1,107915,0,0,9651,164047,1516294,26,751,0
Male,Yes,0,Graduate,No,Salaried,Urban,1,31132,27179,22912,620808,0,4438462,36,762,0
Female,Yes,1,Graduate,Yes,Other,Semiurban,3,79970,12525,0,425193,0,592084,11,741,0
Male,Yes,2,Not Graduate,No,Government,Rural,2,31082,38255,16447,767806,470149,1009658,51,686,0
Male,No,2,Graduate,No,Government,Urban,1,70253,0,0,709567,297906,680810,42,726,1
Male,Yes,1,Graduate,No,Government,Semiurban,3,29447,0,0,210957,0,1484376,9,619,0
Male,Yes,0,Graduate,No,Salaried,Urban,2,88419,0,27214,723275,0,944853,50,833,0
Female,Yes,0,Graduate,No,Government,Urban,1,79591,0,0,395495,0,1062172,40,649,1
Male,Yes,2,Not Graduate,No,Government,Urban,2,35932,0,2736,580880,383195,913497,18,655,0
Male,Yes,0,Graduate,No,Salaried,Rural,1,68715,91309,10320,443698,182454,848791,44,702,1
Male,No,3+,Graduate,No,Salaried,Semiurban,1,84192,25678,20172,262583,0,1189924,17,739,0
Female,Yes,1,Not Graduate,No,Salaried,Urban,1,30090,0,6679,744343,485459,1015675,48,678,0
Male,Yes,1,Not Graduate,No,Salaried,Semiurban,2,28313,0,618,358641,0,2013161,28,824,0
Female,Yes,0,Graduate,No,Salaried,Urban,1,27738,42885,0,233292,0,798486,8,753,0
Male,Yes,1,Graduate,No,Self-Employed,Semiurban,3,25658,80906,0,428656,0,3032543,55,636,0
Female,Yes,1,Graduate,No,Salaried,Rural,2,27665,0,10990,313379,0,1042245,22,781,0
Male,Yes,0,Graduate,No,Salaried,Semiurban,1,83150,11568,7659,609297,128573,4468958,27,688,0
Male,Yes,0,Not Graduate,No,Salaried,Semiurban,2,67954,40175,0,755421,0,2282563,51,694,0
Male,Yes,2,Graduate,No,Self-Employed,Semiurban,3,19672,8827,26221,535094,0,848808,34,844,0
Female,Yes,1,Graduate,No,Salaried,Semiurban,2,37766,23345,0,748905,0,731558,32,550,0
Female,No,0,Graduate,Yes,Salaried,Semiurban,1,26448,0,0,408187,395636,373021,48,764,1
Male,Yes,0,Graduate,No,Self-Employed,Rural,1,80307,0,0,118185,0,2596901,58,649,0
Female,No,2,Graduate,No,Salaried,Semiurban,3,39045,0,18056,697828,39452,4090584,12,719,0
Female,No,2,Graduate,Yes,Salaried,Rural,1,21382,0,0,570176,0,566447,56,582,0
Male,Yes,1,Not Graduate,No,Salaried,Rural,1,54905,0,22415,380685,0,907491,9,757,0
Male,Yes,1,Graduate,No,Self-Employed,Semiurban,2,69797,0,9449,732932,448402,1109688,48,733,0
Male,Yes,0,Not Graduate,No,Self-Employed,Rural,1,29591,0,21668,32488,0,963447,16,783,0
Male,No,1,Graduate,No,Salaried,Urban,3,43220,0,0,317788,0,466056,38,807,1
Female,Yes,0,Graduate,No,Salaried,Urban,3,30438,0,12741,786288,0,2026302,40,746,0
Female,No,3+,Graduate,No,Self-Employed,Semiurban,2,99111,6051,13578,285938,0,934474,33,673,0
Female,No,1,Graduate,Yes,Government,Semiurban,3,39439,0,6017,732639,0,4059359,23,646,0
Male,No,0,Graduate,No,Self-Employed,Rural,2,33616,10778,16349,611834,0,766330,11,548,0
Male,Yes,0,Graduate,No,Government,Urban,3,48608,27801,26234,685406,0,933640,28,704,0
Female,Yes,2,Not Graduate,No,Salaried,Urban,2,44606,0,0,139428,0,641917,39,675,0
Female,No,0,Not Graduate,No,Self-Employed,Rural,1,73017,0,0,395424,334949,303398,21,649,0
Female,Yes,0,Graduate,Yes,Government,Urban,3,97597,17359,27822,249440,0,859334,28,612,0
Female,Yes,1,Graduate,No,Self-Employed,Urban,3,98004,0,15165,546239,0,527665,40,689,0
Female,No,0,Not Graduate,No,Government,Urban,3,40527,17880,4427,192697,0,1861700,11,657,0
Male,Yes,2,Graduate,Yes,Salaried,Semiurban,2,59135,12472,26150,105150,0,820352,29,715,0
Male,No,0,Not Graduate,No,Government,Semiurban,2,113374,10884,0,484514,46673,550121,20,678,1
Female,Yes,2,Not Graduate,No,Self-Employed,Rural,1,115800,36539,0,259962,0,291029,55,761,1
Female,Yes,0,Graduate,No,Government,Urban,1,30885,0,0,433712,0,1481165,14,610,0
Male,No,0,Graduate,No,Salaried,Rural,1,69252,19289,0,124408,327434,580372,51,656,1
Male,Yes,2,Graduate,Yes,Self-Employed,Urban,1,63104,0,13933,571547,246311,1218267,13,795,0
Female,Yes,1,Not Graduate,No,Government,Urban,2,83224,0,23529,683062,321420,1248942,38,694,0
Male,Yes,0,Graduate,Yes,Salaried,Semiurban,2,99088,0,0,125417,0,1530977,31,795,0
Male,Yes,0,Not Graduate,No,Self-Employed,Urban,1,28204,6412,22092,234472,0,419240,22,726,0
Male,Yes,1,Graduate,No,Government,Urban,2,34197,23599,21831,674762,473093,1518576,36,706,0
Female,Yes,1,Graduate,No,Salaried,Urban,1,82368,0,0,402092,67295,681700,16,725,0
Female,Yes,3+,Graduate,No,Salaried,Urban,2,54241,34543,17566,641434,0,1123886,31,660,1
Male,Yes,3+,Graduate,No,Salaried,Rural,3,14688,0,4775,478111,0,801194,9,634,0
Female,No,1,Graduate,No,Salaried,Urban,2,19996,0,19515,615848,0,2131577,13,785,0
Male,No,0,Graduate,No,Salaried,Rural,1,71983,15163,0,22649,0,1161630,29,748,0
Male,Yes,1,Graduate,No,Salaried,Rural,2,79323,0,0,700052,0,1042812,28,770,0
Female,Yes,1,Graduate,Yes,Salaried,Urban,3,23802,0,0,508934,0,6361666,19,837,0
Female,Yes,0,Graduate,No,Salaried,Semiurban,2,91520,0,2794,127765,398053,3005280,44,699,0
Female,Yes,0,Not Graduate,No,Salaried,Semiurban,3,44862,0,0,584889,0,640036,48,759,1
Female,No,0,Graduate,No,Self-Employed,Rural,1,28493,0,17658,324044,342958,617803,24,606,0
Male,No,0,Graduate,No,Salaried,Rural,1,36739,0,22588,510911,540328,785107,7,782,0
Male,Yes,0,Not Graduate,No,Self-Employed,Semiurban,1,25521,0,21137,387241,464000,963879,9,597,0
Male,Yes,1,Not Graduate,No,Salaried,Urban,3,35632,0,0,777524,0,373039,49,656,1
Male,Yes,2,Graduate,No,Salaried,Semiurban,2,17887,95949,24977,132123,151640,1754874,57,657,0
Male,Yes,1,Graduate,Yes,Salaried,Rural,1,48010,17304,26529,700403,1930,612098,60,742,0
Female,Yes,0,Not Graduate,No,Government,Semiurban,1,69057,0,0,6749,0,2437734,54,672,0
Male,No,0,Not Graduate,No,Self-Employed,Rural,2,23829,0,9593,205279,0,1523291,16,681,0
Female,No,1,Not Graduate,No,Government,Semiurban,3,50470,0,9502,827,0,475810,37,676,1
Female,Yes,0,Graduate,Yes,Salaried,Urban,2,32119,0,0,315436,0,820219,24,712,0
Female,Yes,1,Graduate,No,Self-Employed,Rural,1,72230,11110,24228,115667,0,290031,30,712,1
Male,No,3+,Graduate,No,Salaried,Rural,2,14000,25660,0,742291,0,1206668,55,657,0
Male,Yes,0,Not Graduate,Yes,Government,Urban,1,73962,0,0,558952,219048,446907,57,749,1
Male,Yes,0,Graduate,No,Salaried,Urban,2,18398,0,0,463353,327235,936944,55,685,0
Male,Yes,1,Graduate,No,Salaried,Semiurban,2,44547,0,11207,709256,0,638815,60,699,0
Female,No,3+,Not Graduate,No,Salaried,Semiurban,2,33856,26908,0,215174,0,2330028,38,779,0
Male,Yes,2,Graduate,No,Self-Employed,Urban,3,41002,62921,0,790233,0,841090,58,707,1
Male,Yes,2,Graduate,No,Salaried,Urban,1,21560,0,0,611377,0,3918900,18,638,0
Female,No,0,Graduate,No,Salaried,Semiurban,3,124598,0,15284,171742,0,182190,46,667,1
Male,No,3+,Graduate,No,Salaried,Urban,3,24641,0,0,108139,0,574190,57,798,0
Female,No,0,Graduate,No,Other,Urban,2,25734,7861,61,142861,345171,4842129,8,632,0
Female,Yes,0,Graduate,No,Salaried,Semiurban,1,134178,0,11342,233826,0,696136,20,666,1
Female,Yes,2,Graduate,No,Government,Rural,3,59710,0,0,149794,0,1505221,35,781,0
Male,No,3+,Graduate,No,Other,Semiurban,2,25082,0,28934,444946,0,464410,41,683,0
Male,No,0,Graduate,No,Government,Semiurban,1,46580,0,0,43322,0,4787321,16,732,0
Female,Yes,0,Graduate,No,Government,Semiurban,2,43920,0,1182,630609,0,732602,9,654,0
Male,Yes,0,Graduate,No,Government,Semiurban,2,19763,33339,12542,77119,0,375144,47,703,1
Female,No,0,Graduate,No,Salaried,Urban,1,32949,0,0,715456,0,838066,48,623,0
Female,No,0,Graduate,No,Salaried,Urban,2,49279,43698,12327,72191,0,393602,33,725,1
Female,Yes,3+,Graduate,No,Self-Employed,Urban,2,100338,36307,13901,374997,149889,368254,44,740,1
Male,Yes,1,Graduate,No,Salaried,Rural,3,45067,0,0,103691,322197,278439,54,709,1
Male,Yes,2,Graduate,No,Salaried,Rural,2,46970,67662,7857,515382,0,486707,35,625,0
Female,Yes,2,Graduate,No,Self-Employed,Semiurban,2,31934,0,3047,78231,0,1334889,53,762,0
Male,Yes,1,Graduate,No,Salaried,Rural,2,91355,0,0,208003,245270,2661385,59,732,0
Male,Yes,2,Not Graduate,No,Government,Rural,1,82129,25792,0,254038,576894,1676460,7,808,0
Male,Yes,1,Graduate,No,Self-Employed,Rural,3,77181,17566,0,736771,0,1347898,53,632,0
Female,Yes,0,Graduate,No,Salaried,Urban,2,53172,0,24600,574228,290234,872076,19,611,0
Female,Yes,1,Graduate,Yes,Salaried,Semiurban,3,20755,0,0,88090,0,925821,60,662,0
Male,No,1,Not Graduate,No,Salaried,Semiurban,3,90893,0,0,384522,0,427285,60,798,1
Male,Yes,2,Graduate,Yes,Other,Semiurban,2,51601,0,29447,210109,491642,1184785,24,900,0
Female,Yes,3+,Graduate,No,Salaried,Urban,1,42194,0,0,759103,0,655622,36,666,0
Female,No,0,Graduate,No,Salaried,Semiurban,3,63986,0,0,162391,0,993887,38,829,0
Male,Yes,2,Graduate,No,Self-Employed,Urban,2,56561,6578,0,410266,431651,1080182,15,663,0
Male,No,0,Not Graduate,No,Salaried,Rural,3,27770,24835,0,98426,0,1214668,9,660,0
Female,No,2,Graduate,No,Salaried,Semiurban,2,41912,0,25499,299455,0,881650,45,750,0
Female,Yes,0,Not Graduate,No,Salaried,Urban,1,17545,0,0,167459,139193,1607286,41,656,0
Female,No,0,Graduate,No,Salaried,Urban,3,52422,0,0,768602,0,488391,34,649,0
Female,Yes,0,Graduate,No,Salaried,Semiurban,3,103917,0,0,646902,0,382687,47,713,0
Male,Yes,1,Graduate,Yes,Government,Semiurban,3,18623,8211,0,638427,510774,323903,59,715,1
Male,Yes,0,Graduate,No,Salaried,Semiurban,1,53665,16488,0,196669,262320,1091362,54,846,1
