Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,CreditScore,Loan_Status
Male,Yes,2,Graduate,Yes,35053,8607,3505000,44,1,Rural,311,0
Female,No,2,Not Graduate,No,13957,11646,2217652,52,1,Semiurban,606,0
Female,Yes,0,Graduate,Yes,9108,19029,4296644,5,0,Urban,663,0
Female,Yes,2,Not Graduate,Yes,49758,14342,1227798,29,1,Semiurban,617,0
Female,No,3,Graduate,No,19829,5013,3793301,4,1,Urban,837,0
Female,No,0,Not Graduate,No,7837,84,1033886,47,0,Rural,513,0
Female,No,1,Graduate,Yes,17032,1935,458092,35,1,Semiurban,613,0
Female,No,3,Not Graduate,Yes,36234,9608,2882015,22,1,Rural,754,0
Female,No,1,Not Graduate,Yes,28352,9262,2854188,49,1,Urban,698,0
Female,No,2,Not Graduate,No,32215,11604,4262566,8,0,Urban,521,0
Female,Yes,3,Not Graduate,Yes,11106,9713,1200985,44,1,Rural,879,0
Female,No,0,Graduate,No,43247,17885,3087707,21,1,Semiurban,561,0
Male,Yes,3,Graduate,Yes,30766,2473,2670201,8,0,Semiurban,795,0
Male,Yes,1,Graduate,No,45048,735,2568753,58,1,Semiurban,429,0
Female,No,0,Not Graduate,Yes,40700,2838,3616597,52,1,Semiurban,458,0
Female,Yes,3,Not Graduate,No,11996,2562,3371590,52,1,Urban,590,0
Female,No,3,Not Graduate,Yes,3178,13440,2264329,5,1,Semiurban,842,0
Female,No,3,Not Graduate,Yes,37319,3906,4732898,21,1,Rural,388,0
Female,Yes,3,Not Graduate,Yes,18025,1272,4591632,27,1,Urban,631,0
Female,Yes,0,Not Graduate,Yes,11780,4836,3676887,38,1,Rural,805,0
Female,No,1,Graduate,No,24706,1862,3836997,5,1,Rural,429,0
Female,No,3,Graduate,No,44916,4226,3147250,21,1,Rural,506,0
Male,Yes,0,Graduate,No,11967,12610,4909734,8,1,Urban,659,0
Female,Yes,1,Graduate,No,32856,9014,4499049,22,1,Semiurban,358,0
Male,Yes,3,Graduate,No,39630,16926,4654136,18,0,Rural,395,0
Female,Yes,1,Graduate,Yes,11179,6209,2264867,4,1,Rural,545,0
Female,No,1,Graduate,No,40623,19149,1620113,4,1,Semiurban,758,0
Male,No,0,Graduate,No,19587,10270,1881422,37,1,Semiurban,444,0
Female,No,1,Not Graduate,No,25733,17268,1754733,15,1,Semiurban,609,0
Male,No,0,Not Graduate,No,24770,3649,2604758,38,0,Semiurban,833,0
Female,Yes,3,Not Graduate,Yes,35887,14126,2920884,27,1,Rural,680,0
Female,Yes,1,Not Graduate,Yes,5975,16073,4256973,21,0,Urban,652,0
Male,No,1,Not Graduate,Yes,14919,19955,3062823,48,1,Semiurban,584,0
Female,No,2,Not Graduate,Yes,11602,3666,396653,46,0,Semiurban,801,0
Male,No,3,Not Graduate,No,47463,13357,2299309,46,0,Rural,557,0
Female,No,3,Graduate,No,36060,15448,271692,48,1,Semiurban,351,0
Male,No,2,Graduate,Yes,44154,9913,336195,59,1,Rural,849,1
Male,No,2,Not Graduate,Yes,12140,8566,3906654,54,1,Rural,515,0
Female,No,0,Graduate,No,23170,15605,4976754,56,1,Rural,745,0
Female,No,0,Graduate,No,30830,557,4951926,4,1,Rural,522,0
Male,No,1,Graduate,Yes,46540,9472,4118521,11,1,Semiurban,404,0
Female,Yes,1,Graduate,Yes,8590,11615,2266275,19,1,Urban,821,0
Female,No,1,Graduate,Yes,48745,6040,440958,57,1,Semiurban,682,1
Female,Yes,1,Not Graduate,Yes,32609,13884,795139,19,1,Urban,413,0
Male,Yes,0,Graduate,No,19401,1128,2523431,27,1,Semiurban,368,0
Male,No,3,Not Graduate,No,29729,17744,4496869,40,1,Rural,664,0
Male,No,1,Not Graduate,No,39944,9292,4170196,42,1,Semiurban,343,0
Male,Yes,3,Not Graduate,Yes,47167,5349,798644,28,1,Rural,510,0
Male,Yes,1,Graduate,No,30645,19009,3540366,5,1,Semiurban,575,0
Male,No,2,Not Graduate,No,31047,12319,4123166,48,1,Rural,406,0
Male,Yes,1,Not Graduate,Yes,24560,9823,1537322,25,1,Urban,778,0
Male,No,1,Not Graduate,Yes,8647,57,3248896,3,1,Rural,504,0
Male,No,1,Not Graduate,Yes,23106,8503,3129751,26,1,Semiurban,418,0
Female,No,0,Graduate,Yes,8015,10193,1744779,10,1,Rural,785,0
Male,Yes,2,Not Graduate,Yes,23506,19121,4646242,24,1,Urban,408,0
Female,Yes,1,Not Graduate,Yes,26067,5493,4425518,29,0,Urban,753,0
Female,No,1,Not Graduate,No,4056,3877,641944,45,1,Semiurban,538,0
Female,Yes,3,Not Graduate,No,33719,2282,2649392,7,1,Rural,307,0
Male,Yes,2,Graduate,No,31328,11375,2495624,44,1,Semiurban,811,0
Male,Yes,1,Not Graduate,No,14176,1431,3800211,23,1,Rural,342,0
Male,Yes,3,Not Graduate,No,44771,12526,1259332,46,1,Urban,693,0
Male,Yes,3,Not Graduate,No,33885,1775,3754918,27,1,Semiurban,431,0
Female,Yes,0,Not Graduate,Yes,23269,11351,4035766,42,0,Urban,693,0
Male,Yes,3,Not Graduate,Yes,48515,14639,2378772,9,1,Rural,857,0
Male,No,1,Not Graduate,Yes,5114,4385,85571,44,1,Urban,497,0
Male,Yes,0,Graduate,No,15442,15203,126752,56,0,Rural,763,0
Male,Yes,0,Not Graduate,No,42151,3974,510160,3,1,Semiurban,420,0
Male,Yes,1,Graduate,Yes,3629,5905,3020741,13,1,Rural,599,0
Female,Yes,2,Graduate,Yes,19927,4465,2889025,6,1,Rural,519,0
Male,Yes,3,Not Graduate,Yes,33317,19686,2356955,59,1,Semiurban,393,0
Female,Yes,0,Graduate,Yes,25896,6945,2729245,38,1,Semiurban,591,0
Male,Yes,2,Not Graduate,Yes,30155,11058,289185,21,1,Urban,452,0
Female,Yes,1,Graduate,No,20288,12636,4316953,19,0,Rural,824,0
Male,No,3,Not Graduate,No,23415,2302,90910,25,1,Rural,721,1
Male,Yes,3,Graduate,No,38085,4966,3611705,39,1,Urban,457,0
Female,Yes,0,Graduate,Yes,13251,13447,1308962,4,1,Rural,569,0
Female,Yes,3,Not Graduate,No,38884,18426,4229308,22,1,Rural,879,0
Female,Yes,3,Graduate,Yes,27574,14162,322930,5,1,Semiurban,556,0
Male,No,3,Graduate,No,11623,16058,3831332,1,0,Semiurban,814,0
Female,No,3,Graduate,Yes,22936,8714,2714146,50,1,Semiurban,536,0
Male,No,1,Graduate,Yes,8123,10899,946429,17,1,Urban,744,0
Male,No,2,Graduate,No,5061,2998,3717594,9,1,Semiurban,470,0
Female,No,1,Not Graduate,No,42857,909,539660,9,1,Urban,569,0
Female,No,1,Graduate,No,38499,12729,3429082,53,1,Semiurban,900,0
Male,No,0,Graduate,No,41095,1880,1410724,24,1,Rural,366,0
Male,No,3,Not Graduate,No,30451,12497,503850,10,1,Rural,307,0
Female,No,1,Not Graduate,Yes,18361,18944,2244001,20,1,Semiurban,855,0
Female,No,3,Not Graduate,No,17907,7527,1244215,17,1,Semiurban,747,0
Female,No,1,Graduate,No,36814,5696,1318069,13,1,Urban,434,0
Male,No,1,Graduate,Yes,21605,3072,1879341,29,1,Rural,324,0
Male,No,0,Graduate,No,34256,12018,2109838,36,1,Semiurban,764,0
Male,No,2,Graduate,Yes,13332,4476,3973890,23,1,Semiurban,673,0
Male,No,2,Not Graduate,No,39832,11067,4161788,27,1,Rural,495,0
Male,No,1,Not Graduate,No,31476,4489,4891708,18,1,Semiurban,701,0
Male,Yes,0,Graduate,Yes,11445,16219,707620,18,1,Rural,421,0
Female,No,3,Graduate,No,35490,14367,3357067,54,1,Semiurban,858,0
Male,Yes,3,Graduate,No,31767,6855,4958033,9,1,Rural,508,0
Male,No,1,Graduate,No,48057,3097,2163985,3,1,Urban,600,0
Male,No,2,Not Graduate,No,17210,11817,4359560,7,1,Semiurban,900,0
Female,Yes,0,Not Graduate,Yes,26159,19889,4440686,58,0,Semiurban,814,0
Male,No,2,Graduate,Yes,9564,1084,1014233,15,1,Semiurban,833,0
Male,Yes,3,Not Graduate,No,43043,552,2157670,30,1,Urban,338,0
Female,Yes,2,Graduate,No,23219,1153,4977701,9,1,Semiurban,505,0
Male,Yes,3,Graduate,Yes,29946,18629,280684,59,1,Semiurban,882,1
Male,No,0,Not Graduate,Yes,38587,18070,2147120,41,1,Rural,711,0
Male,No,0,Graduate,No,5364,17077,4850030,27,1,Semiurban,632,0
Male,No,1,Not Graduate,Yes,6318,8689,4998685,36,1,Semiurban,507,0
Male,Yes,1,Graduate,Yes,13479,13483,2565913,18,1,Rural,704,0
Female,Yes,2,Not Graduate,Yes,9398,15034,835254,31,1,Urban,687,0
Female,No,0,Graduate,Yes,4452,12159,4946385,17,1,Urban,786,0
Female,No,0,Not Graduate,No,23672,805,4778234,54,1,Rural,681,0
Male,No,1,Graduate,Yes,35193,920,3653477,53,1,Urban,570,0
Male,No,3,Graduate,No,15865,13162,4364241,6,1,Urban,736,0
Male,No,2,Not Graduate,No,27345,19988,2622034,39,1,Semiurban,729,0
Female,Yes,2,Graduate,Yes,48275,1443,1636600,25,1,Semiurban,644,0
Male,Yes,1,Not Graduate,No,22359,7048,1140857,42,1,Semiurban,448,0
Male,Yes,0,Not Graduate,No,10799,13707,1177927,42,1,Urban,691,0
Female,No,1,Graduate,Yes,25053,17929,3535652,59,1,Semiurban,486,0
Male,Yes,1,Graduate,Yes,36892,1210,2540326,38,1,Urban,319,0
Female,Yes,1,Graduate,Yes,19684,16004,3469590,38,0,Semiurban,637,0
Female,Yes,1,Graduate,No,7015,10272,3146976,31,1,Urban,672,0
Female,Yes,3,Not Graduate,No,33665,6212,2243371,51,1,Rural,366,0
Male,Yes,3,Graduate,No,10657,10340,3436926,29,1,Rural,738,0
Male,No,0,Graduate,No,23951,9700,2571796,40,1,Semiurban,361,0
Male,Yes,1,Graduate,Yes,34063,17297,3429095,9,1,Urban,785,0
Male,No,3,Not Graduate,No,34743,19164,4163441,1,1,Rural,867,0
Male,No,0,Graduate,Yes,28521,8581,1860173,16,1,Rural,384,0
Male,No,1,Not Graduate,Yes,12731,13045,359495,38,1,Semiurban,705,1
Male,No,2,Graduate,Yes,20744,2570,1013360,23,1,Semiurban,694,0
Female,No,3,Not Graduate,Yes,20423,2779,2534346,59,0,Urban,823,0
Male,Yes,0,Graduate,No,19568,18360,3772701,8,0,Rural,475,0
Female,Yes,2,Graduate,Yes,49411,11628,3169599,47,1,Urban,658,0
Male,No,1,Not Graduate,No,5934,17178,3715522,12,1,Urban,838,0
Male,No,1,Graduate,Yes,13409,1722,3809563,10,1,Semiurban,590,0
Male,No,1,Graduate,Yes,33410,13885,2289615,16,1,Urban,429,0
Female,Yes,3,Graduate,Yes,32808,17282,4115250,47,1,Urban,778,0
Female,No,0,Not Graduate,No,10172,102,4781544,43,1,Rural,831,0
Female,Yes,2,Graduate,Yes,29358,13262,3151454,24,0,Urban,563,0
Female,No,0,Not Graduate,Yes,2777,7453,4656802,39,1,Rural,802,0
Male,Yes,3,Not Graduate,Yes,21763,9639,1723215,8,1,Rural,459,0
Female,No,0,Not Graduate,Yes,37186,12406,759714,11,1,Urban,837,1
Male,Yes,3,Graduate,No,33170,18416,3213670,41,1,Urban,380,0
Male,No,1,Not Graduate,No,22461,12224,51722,26,1,Rural,712,1
Female,Yes,2,Not Graduate,Yes,47222,6172,480036,7,1,Urban,774,1
Female,Yes,1,Graduate,Yes,4439,11252,2083267,15,1,Rural,317,0
Female,Yes,0,Not Graduate,No,9804,17918,3980785,15,1,Urban,368,0
Female,Yes,1,Not Graduate,No,47791,7197,2103222,48,1,Rural,429,0
Female,Yes,2,Graduate,No,49594,13677,4147778,3,1,Rural,609,0
Female,Yes,1,Graduate,Yes,15212,11039,4834811,16,1,Semiurban,786,0
Female,Yes,2,Not Graduate,No,23653,4570,4089935,15,1,Urban,314,0
Female,No,2,Graduate,Yes,23971,6706,4655914,25,1,Rural,795,0
Male,No,1,Graduate,No,3989,11655,3123215,33,1,Rural,485,0
Female,No,3,Graduate,No,9868,434,2062785,14,1,Urban,716,0
Female,No,0,Not Graduate,Yes,44026,15139,2566837,24,1,Urban,731,0
Male,No,3,Not Graduate,No,35712,9449,2152644,54,1,Urban,365,0
Female,Yes,3,Graduate,Yes,26604,9122,2263511,11,1,Semiurban,380,0
Male,Yes,1,Not Graduate,No,24135,13603,4402868,3,0,Urban,335,0
Male,Yes,0,Graduate,Yes,32544,10991,3186769,9,1,Semiurban,316,0
Female,Yes,0,Graduate,No,39918,13859,3863957,6,1,Urban,813,0
Male,Yes,3,Graduate,No,32847,15571,3388787,31,1,Semiurban,332,0
Male,No,1,Graduate,Yes,45774,6461,571323,55,0,Urban,648,0
Male,No,0,Graduate,Yes,12680,5996,3108711,16,1,Semiurban,679,0
Male,No,3,Not Graduate,Yes,49972,4852,341280,11,0,Rural,807,0
Female,No,0,Not Graduate,Yes,32083,2512,1605282,50,1,Semiurban,566,0
Male,Yes,1,Not Graduate,No,36433,15446,2222744,17,1,Semiurban,816,0
Female,Yes,1,Not Graduate,No,47579,1263,443931,49,1,Rural,784,1
Male,Yes,1,Graduate,No,28309,2747,4486374,3,1,Urban,646,0
Male,No,0,Graduate,No,43719,15416,3975321,59,1,Rural,742,0
Male,Yes,2,Not Graduate,No,12349,7280,4066413,19,1,Rural,677,0
Male,No,0,Not Graduate,No,11543,10974,1706978,24,1,Rural,872,0
Female,Yes,2,Graduate,Yes,11460,17477,3219049,55,1,Semiurban,657,0
Female,Yes,1,Graduate,No,36553,10978,2779945,47,1,Rural,837,0
Male,No,3,Graduate,No,30525,11007,599247,42,1,Urban,509,0
Male,Yes,2,Not Graduate,Yes,7948,3763,4238170,8,1,Semiurban,341,0
Female,Yes,1,Graduate,No,16498,12227,1566405,49,1,Semiurban,312,0
Male,No,1,Graduate,No,20991,13031,4229511,36,0,Rural,900,0
Male,Yes,2,Not Graduate,No,26974,10515,2736636,40,1,Semiurban,899,0
Male,No,3,Not Graduate,Yes,37398,232,1283198,58,1,Urban,788,0
Female,Yes,1,Not Graduate,Yes,9660,18485,1043483,2,1,Semiurban,486,0
Female,Yes,2,Graduate,No,28245,12544,218280,23,0,Rural,362,0
Female,Yes,3,Graduate,Yes,2238,2028,1069925,40,1,Rural,635,0
Male,Yes,3,Not Graduate,No,21920,18313,522159,30,1,Rural,854,1
Male,Yes,1,Graduate,No,48659,16022,327460,25,0,Semiurban,374,0
Female,Yes,0,Graduate,No,11338,9650,2128140,7,1,Rural,448,0
Female,Yes,0,Graduate,Yes,44517,19724,1584535,28,1,Semiurban,506,0
Female,Yes,1,Not Graduate,No,12349,18361,4731458,41,0,Rural,540,0
Female,No,3,Not Graduate,No,48350,2413,1559758,50,1,Rural,874,0
Male,No,1,Graduate,No,13643,8026,1090775,59,1,Rural,534,0
Female,Yes,2,Graduate,No,30274,5418,796011,17,0,Urban,424,0
Male,Yes,0,Graduate,No,47013,9952,3270571,32,0,Urban,556,0
Female,No,2,Graduate,Yes,42667,3597,3464581,1,1,Rural,391,0
Male,Yes,1,Not Graduate,No,41913,17762,2968771,27,1,Rural,506,0
Female,Yes,1,Not Graduate,Yes,40629,620,1141112,44,0,Semiurban,716,0
Female,No,3,Graduate,No,47819,929,2526068,36,1,Semiurban,587,0
Female,Yes,3,Graduate,Yes,18632,15455,1374965,49,1,Urban,514,0
Female,Yes,3,Not Graduate,No,29144,14905,4093442,7,1,Semiurban,811,0
Male,No,2,Graduate,No,14321,974,2891419,56,1,Semiurban,872,0
Female,Yes,3,Not Graduate,Yes,39091,12679,1473460,3,1,Semiurban,667,0
Male,Yes,1,Graduate,Yes,31256,18073,82286,30,1,Semiurban,700,1
Male,No,3,Not Graduate,No,25485,4671,2319273,1,1,Urban,500,0
Male,Yes,0,Graduate,Yes,4860,13599,393045,51,1,Urban,880,0
Male,No,3,Graduate,Yes,16919,12810,3383000,34,0,Semiurban,584,0
Female,Yes,2,Not Graduate,No,35337,8917,1439706,38,0,Semiurban,362,0
Male,Yes,0,Not Graduate,No,10411,8353,4622790,43,0,Urban,660,0
Male,No,0,Graduate,No,11586,7784,1272509,55,1,Rural,486,0
Male,No,0,Graduate,No,26312,14225,4434890,57,0,Semiurban,782,0
Female,Yes,2,Not Graduate,No,25055,658,4710508,53,1,Rural,670,0
Female,No,1,Not Graduate,Yes,36890,2897,2413256,36,1,Semiurban,320,0
Female,No,3,Graduate,No,30807,12291,4546050,33,0,Urban,607,0
Female,Yes,0,Graduate,Yes,22384,18926,1764500,43,1,Semiurban,345,0
Male,Yes,0,Not Graduate,No,49177,13572,1890099,16,0,Rural,493,0
Male,Yes,0,Not Graduate,No,30925,3205,2655574,38,0,Urban,356,0
Female,No,1,Not Graduate,Yes,5089,4044,1685199,11,1,Semiurban,853,0
Male,No,1,Not Graduate,No,16242,3433,2210716,8,1,Semiurban,756,0
Male,No,2,Not Graduate,Yes,41978,6711,2262669,52,1,Urban,632,0
Male,No,1,Graduate,Yes,18433,7384,1032479,1,1,Semiurban,315,0
Female,Yes,3,Graduate,Yes,35282,17261,1549406,14,1,Urban,812,0
Female,No,2,Not Graduate,No,12983,17475,2941572,30,1,Semiurban,449,0
Male,Yes,2,Graduate,No,45738,3059,567103,21,0,Urban,512,0
Female,No,3,Graduate,No,45578,15915,3876268,58,1,Semiurban,690,0
Female,Yes,3,Not Graduate,No,44797,7513,2719508,21,0,Urban,580,0
Female,Yes,3,Graduate,No,6671,13865,1272322,34,1,Urban,838,0
Female,Yes,2,Graduate,No,26133,1674,1746380,38,0,Semiurban,641,0
Female,No,2,Graduate,Yes,45209,9800,2317162,26,1,Urban,636,0
Male,Yes,2,Not Graduate,No,2414,19210,1217016,41,1,Semiurban,374,0
Female,Yes,3,Not Graduate,No,49861,19436,2577501,14,0,Semiurban,392,0
Male,No,3,Graduate,No,23242,13978,782275,54,1,Semiurban,845,0
Male,Yes,0,Graduate,No,37184,16697,2675780,40,1,Urban,414,0
Female,No,1,Graduate,Yes,40379,16767,1926874,58,0,Semiurban,720,0
Male,No,0,Graduate,Yes,17231,5884,3572167,35,1,Urban,412,0
Male,Yes,3,Graduate,Yes,23849,18196,1863028,42,0,Rural,667,0
Male,Yes,2,Graduate,Yes,43163,18708,4023973,18,1,Rural,359,0
Female,No,3,Not Graduate,Yes,33676,13383,1303783,20,0,Rural,581,0
Female,Yes,1,Graduate,No,24056,5248,2103390,60,1,Semiurban,536,0
Male,No,0,Graduate,Yes,43028,3429,4646235,9,0,Urban,344,0
Female,No,0,Not Graduate,Yes,21947,19675,4693422,41,0,Semiurban,496,0
Female,No,2,Graduate,No,47416,16611,1199930,51,1,Urban,798,1
Female,Yes,0,Graduate,No,28040,10256,3423598,60,1,Rural,882,0
Female,No,0,Graduate,Yes,48110,8203,1449732,45,1,Rural,748,0
Male,Yes,3,Graduate,No,48978,7765,2449976,33,0,Rural,494,0
Male,Yes,0,Not Graduate,No,27282,1522,3419811,49,1,Semiurban,494,0
Female,Yes,0,Graduate,Yes,28201,691,4629655,4,1,Semiurban,874,0
Female,Yes,0,Not Graduate,No,8833,1739,4303483,4,1,Urban,881,0
Male,No,2,Graduate,Yes,6752,1525,936045,59,0,Urban,609,0
Male,Yes,2,Graduate,Yes,26507,16453,352114,48,1,Rural,890,1
Female,No,3,Not Graduate,No,22169,6251,2089316,60,1,Semiurban,847,0
Male,No,0,Graduate,Yes,46746,10440,4249022,16,1,Semiurban,688,0
Female,Yes,2,Not Graduate,Yes,43495,19507,1006222,47,0,Urban,734,0
Female,No,2,Not Graduate,No,26930,13860,2485065,26,1,Urban,795,0
Male,No,3,Not Graduate,No,7023,7649,2288950,6,1,Semiurban,500,0
Male,Yes,1,Graduate,No,2982,1287,3550176,37,1,Semiurban,833,0
Female,No,0,Graduate,No,16305,13193,591427,22,0,Urban,596,0
Female,No,2,Graduate,Yes,18146,8767,3916769,42,1,Semiurban,793,0
Male,No,3,Graduate,No,13201,15913,2266956,39,0,Semiurban,630,0
Female,No,3,Not Graduate,No,18910,15629,4813374,7,1,Rural,560,0
Male,Yes,3,Graduate,Yes,25031,4954,1342821,42,1,Semiurban,354,0
Female,No,2,Graduate,Yes,25636,744,1902021,30,1,Semiurban,581,0
Male,No,0,Not Graduate,Yes,19314,10719,2981568,10,0,Semiurban,741,0
Male,No,1,Not Graduate,Yes,29332,12402,290734,57,1,Urban,558,0
Male,No,0,Graduate,No,20330,4576,1069326,15,1,Rural,861,0
Female,Yes,3,Not Graduate,No,17365,9216,3167312,6,1,Urban,445,0
Female,No,3,Not Graduate,Yes,45501,16363,2323098,24,1,Rural,690,0
Male,Yes,1,Not Graduate,Yes,12108,17325,2800550,2,0,Rural,672,0
